Host Country,Year,Lifelong Learning %,COB
Lithuania,'09,5.7,Reporting country
Lithuania,'09,5.7,Total
Lithuania,'10,5.3,Reporting country
Lithuania,'10,5.3,Total
Lithuania,'11,7.1,Reporting country
Lithuania,'11,7.1,Total
Lithuania,'12,6.4,Reporting country
Lithuania,'12,6.4,Total
Lithuania,'13,6.9,Reporting country
Lithuania,'13,6.9,Total
Lithuania,'14,6,Reporting country
Lithuania,'14,6,Total
Lithuania,'15,6.8,Reporting country
Lithuania,'15,6.7,Total
Lithuania,'16,6.9,Reporting country
Lithuania,'16,6.9,Total
Latvia,'06,4,Extra-EU-28
Latvia,'06,4.2,Foreign country
Latvia,'06,9.3,Reporting country
Latvia,'06,8.7,Total
Latvia,'07,4.8,Extra-EU-28
Latvia,'07,4.6,Foreign country
Latvia,'07,9.2,Reporting country
Latvia,'07,8.6,Total
Latvia,'08,4.1,Extra-EU-28
Latvia,'08,4.1,Foreign country
Latvia,'08,8.8,Reporting country
Latvia,'08,8.2,Total
Latvia,'09,4.6,Extra-EU-28
Latvia,'09,4.6,Foreign country
Latvia,'09,7,Reporting country
Latvia,'09,6.7,Total
Latvia,'10,4.2,Extra-EU-28
Latvia,'10,3.9,Foreign country
Latvia,'10,6.7,Reporting country
Latvia,'10,6.4,Total
Latvia,'11,3.6,Extra-EU-28
Latvia,'11,3.5,Foreign country
Latvia,'11,6.6,Reporting country
Latvia,'11,6.3,Total
Latvia,'12,5.8,Extra-EU-28
Latvia,'12,6,Foreign country
Latvia,'12,8.4,Reporting country
Latvia,'12,8.2,Total
Latvia,'13,5.3,Extra-EU-28
Latvia,'13,5,Foreign country
Latvia,'13,8.1,Reporting country
Latvia,'13,7.8,Total
Latvia,'14,4.3,Extra-EU-28
Latvia,'14,4.3,Foreign country
Latvia,'14,7,Reporting country
Latvia,'14,6.7,Total
Latvia,'15,5.6,Extra-EU-28
Latvia,'15,5.5,Foreign country
Latvia,'15,6.8,Reporting country
Latvia,'15,6.7,Total
Latvia,'16,4.2,Extra-EU-28
Latvia,'16,4.5,Foreign country
Latvia,'16,8.8,Reporting country
Latvia,'16,8.4,Total
Italy,'06,4.6,EU-28
Italy,'06,4.1,Extra-EU-28
Italy,'06,4.3,Foreign country
Italy,'06,7.6,Reporting country
Italy,'06,7.3,Total
Italy,'07,4.5,EU-28
Italy,'07,3.8,Extra-EU-28
Italy,'07,4,Foreign country
Italy,'07,7.7,Reporting country
Italy,'07,7.3,Total
Italy,'08,4.1,EU-28
Italy,'08,3.6,Extra-EU-28
Italy,'08,3.7,Foreign country
Italy,'08,7.9,Reporting country
Italy,'08,7.5,Total
Italy,'09,3.6,EU-28
Italy,'09,3.6,Extra-EU-28
Italy,'09,3.6,Foreign country
Italy,'09,7.5,Reporting country
Italy,'09,7.1,Total
Italy,'10,4.2,EU-28
Italy,'10,3.4,Extra-EU-28
Italy,'10,3.6,Foreign country
Italy,'10,7.8,Reporting country
Italy,'10,7.3,Total
Italy,'11,3.5,EU-28
Italy,'11,3.6,Extra-EU-28
Italy,'11,3.6,Foreign country
Italy,'11,7.1,Reporting country
Italy,'11,6.6,Total
Italy,'12,3.6,EU-28
Italy,'12,3.8,Extra-EU-28
Italy,'12,3.7,Foreign country
Italy,'12,8.3,Reporting country
Italy,'12,7.6,Total
Italy,'13,3.6,EU-28
Italy,'13,3.8,Extra-EU-28
Italy,'13,3.7,Foreign country
Italy,'13,7.7,Reporting country
Italy,'13,7.2,Total
